artist,total_views,100m,avg
BTS,27947900000,63.0,7.37
Bad Bunny,27573400000,66.0,14.56
Justin Bieber,27399700000,37.0,3.99
Ed Sheeran,26894000000,39.0,4.61
Taylor Swift,24350000000,38.0,5.72
Shakira,23961800000,43.0,7.84
Katy Perry,23553400000,25.0,3.18
Ozuna,22524800000,49.0,4.93
Eminem,20937700000,38.0,5.84
Ariana Grande,20618500000,37.0,3.37
Daddy Yankee,20485200000,41.0,4.54
J Balvin,20436900000,34.0,3.19
Blackpink,20082000000,32.0,8.63
Maroon 5,19430100000,30.0,3.26
Rihanna,18683800000,33.0,3.91
Maluma,18479800000,30.0,3.11
The Weeknd,17668900000,30.0,8.52
Bruno Mars,16897500000,20.0,4.19
Marília Mendonça,16515800000,53.0,6.4
Enrique Iglesias,16395200000,29.0,2.66
David Guetta,15484600000,29.0,3.74
Nicky Jam,14982500000,29.0,1.67
Coldplay,14849000000,21.0,4.05
Beyoncé,14681400000,37.0,2.95
Calvin Harris,14270500000,22.0,2.09
Luis Fonsi,14242400000,12.0,1.57
Romeo Santos,14113200000,26.0,4.77
Marshmello,14020700000,29.0,2.72
Karol G,13981800000,26.0,6.59
Imagine Dragons,13444200000,18.0,4.88
Henrique e Juliano,13210100000,37.0,4.97
Chris Brown,13165000000,37.0,3.84
Lady Gaga,13156000000,28.0,4.27
Gusttavo Lima,12899100000,35.0,4.19
The Chainsmokers,12561500000,19.0,1.6
Guru Randhawa,12413400000,33.0,21.63
Alan Walker,12329800000,18.0,2.47
Adele,12329600000,17.0,2.6
Wiz Khalifa,12175300000,13.0,1.9
Anuel AA,12111800000,23.0,7.48
Pitbull,11989900000,21.0,2.08
One Direction,11904400000,18.0,1.78
Banda MS,11847700000,26.0,2.66
TWICE,11667000000,24.0,3.68
Michael Jackson,11662200000,23.0,3.42
Sia,11545700000,17.0,2.52
Post Malone,11345700000,18.0,3.21
Neha Kakkar,11283500000,20.0,2.44
Gummibär,11225700000,13.0,2.72
Selena Gomez,11062800000,29.0,3.54
Linkin Park,11044500000,25.0,2.68
Shawn Mendes,10923600000,16.0,2.01
Arijit Singh,10850300000,23.0,3.16
YoungBoy Never Broke Again,10593700000,26.0,4.87
Drake,10361200000,18.0,3.22
Billie Eilish,10290200000,22.0,3.04
twenty one pilots,10147700000,14.0,2.03
Zé Neto e Cristiano,10133500000,26.0,1.72
Los Ángeles Azules,10070700000,26.0,4.09
PSY,9970600000,10.0,2.22
Yo Yo Honey Singh,9522400000,32.0,3.36
Jennifer Lopez,9282300000,24.0,1.63
Becky G,9280800000,11.0,1.74
Dua Lipa,9258100000,16.0,2.84
The Black Eyed Peas,9223400000,19.0,2.5
Avicii,9135600000,17.0,1.55
Queen,9081000000,16.0,1.88
Sebastián Yatra,9012300000,19.0,2.76
Nicki Minaj,9000900000,26.0,2.02
Rauw Alejandro,8927200000,20.0,5.19
Major Lazer,8826700000,12.0,1.19
XXXTENTACION,8823300000,18.0,1.62
DJ Snake,8530600000,13.0,1.89
Charlie Puth,8393299999,10.0,1.95
Jorge & Mateus,8380299999,22.0,2.69
Sam Smith,8294600000,13.0,2.19
Future,8146900000,13.0,2.3
Farruko,8116800000,20.0,2.19
Jason Derulo,8105500000,22.0,1.05
BIGBANG,8046300000,21.0,1.04
50 Cent,8010800000,15.0,2.61
Skrillex,7946000000,16.0,0.89
Martin Garrix,7827200000,14.0,1.2
Badshah,7822300000,16.0,2.78
Miley Cyrus,7750100000,19.0,1.6
Wesley Safadão,7529700000,15.0,3.06
MattyB,7424600000,21.0,1.34
Reik,7315100000,20.0,2.48
Fifth Harmony,7313400000,8.0,1.01
Anitta,7278000000,22.0,1.72
Natti Natasha,7199600000,13.0,1.78
6ix9ine,7164400000,14.0,0.96
HA-ASH,7159500000,16.0,1.82
